X,Y,FID,OBJECTID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE
11304494.0021197,341546.147300049,1294,2285,Shah Alam,MYS-SLN,Selangor,MY,Malaysia,Provincial capital,195049,5,"100,000 to 249,999",0,0,UN_Data_2010_2020
12283437.481548,172454.78567624,1295,2286,Kuching,MYS-SRW,Sarawak,MY,Malaysia,Provincial capital,157668,5,"100,000 to 249,999",51560,0,UN_Data_2010_2020
11349022.349399,301565.589368394,1296,2287,Seremban,MYS-NSM,Negeri Sembilan,MY,Malaysia,Provincial capital,385935,4,"250,000 to 499,999",0,0,UN_Data_2010_2020
11382974.899421,244962.630980666,1297,2288,Melaka,MYS-MEL,Melaka,MY,Malaysia,Provincial capital,0,0, ,49970,1, 
11550510.5201742,166998.655024828,1298,2289,Johor Baharu,MYS-JOH,Johor,MY,Malaysia,Provincial capital,518627,3,"500,000 to 999,999",0,0,UN_Data_2010_2020
11291469.6115512,61337.758630197,1299,2290,Pekanbaru,IDN-RIA,Riau,ID,Indonesia,Provincial capital,897767,3,"500,000 to 999,999",0,0,UN_Data_2010_2020
11558502.4730511,141259.949154154,1300,2291,Singapore,SGP,Singapore,SN,Singapore,National capital,5703569,1,"5,000,000 and greater",50000,1,UN_Data_2010_2020
11271098.4831279,765931.609353215,1301,2292,Pattani,THA-PTT,Pattani,TH,Thailand,Provincial capital,104617,5,"100,000 to 249,999",0,1,UN_Data_2010_2020
11275439.6150628,730736.27621832,1302,2293,Yala,THA-YAL,Yala,TH,Thailand,Provincial capital,119744,5,"100,000 to 249,999",0,1,UN_Data_2010_2020
11335107.2949875,717067.282546525,1303,2294,Narathiwat,THA-NRH,Narathiwat,TH,Thailand,Provincial capital,133718,5,"100,000 to 249,999",57432,1,UN_Data_2010_2020
11381304.7826726,682350.771569119,1304,2295,Kota Baharu,MYS-KLN,Kelantan,MY,Malaysia,Provincial capital,332288,4,"250,000 to 499,999",0,0,UN_Data_2010_2020
11777713.8208522,1241180.16882934,1305,2296,Svay Rieng,KHM-SRI,Svay Rieng,CB,Cambodia,Provincial capital,0,0, ,0,1, 
11664423.7527226,1230213.36102749,1306,2297,Takev,KHM-TAK,Takev,CB,Cambodia,Provincial capital,0,0, ,0,1, 
11872529.2966599,1228599.88561636,1307,2298,Thu Dau Mot,VNM-SBE,Song Be,VM,Vietnam,Provincial capital,0,0, ,0,0, 
11890776.4564434,1226437.47296773,1308,2299,Bien Hoa,VNM-DNA,Dong Nai,VM,Vietnam,Provincial capital,0,0, ,0,0, 
11873610.3288694,1204808.71832955,1309,2300,Ho Chi Minh City,VNM-HCM,Ho Chi Minh,VM,Vietnam,Other,8535000,1,"5,000,000 and greater",0,0,UN_Habitat_2020
11597487.4607648,1187455.03193522,1310,2301,Kampot,KHM-KMP,Kampot,CB,Cambodia,Provincial capital,0,0, ,57500,1, 
11737304.1836327,1162096.19895813,1311,2302,Long Xuyen,VNM-AGI,An Giang,VM,Vietnam,Provincial capital,0,0, ,0,0, 
11698008.6268953,1119681.35446965,1312,2303,Rach Gia,VNM-KGI,Kien Giang,VM,Vietnam,Provincial capital,0,0, ,0,0, 
11845841.3427715,1178962.35173292,1313,2304,Tan An,VNM-LAN,Long An,VM,Vietnam,Provincial capital,0,0, ,0,0, 
11759345.4288044,1171716.71106771,1314,2305,Cao Lanh,VNM-DTH,Dong Thap,VM,Vietnam,Provincial capital,0,0, ,0,0, 
11840720.7579313,1158926.6163753,1315,2306,My Tho,VNM-TGI,Tien Giang,VM,Vietnam,Provincial capital,0,0, ,0,0, 
11795858.7778394,1147839.33549989,1316,2307,Vinh Long,VNM-VLN,Vinh Long,VM,Vietnam,Provincial capital,0,0, ,0,1, 
11841610.4270102,1145463.06797197,1317,2308,Truc Giang,VNM-BTR,Ben Tre,VM,Vietnam,Provincial capital,0,0, ,0,0, 
11775821.2822287,1122507.66213458,1318,2309,Can Tho,VNM-CTH,Can Tho,VM,Vietnam,Provincial capital,1753000,2,"1,000,000 to 4,999,999",0,1,UN_Habitat_2020
11837046.8916218,1111430.5327459,1319,2310,Tra Vinh,VNM-TVN,Tra Vinh,VM,Vietnam,Provincial capital,0,0, ,0,1, 
11796155.34648,1073703.0495912,1320,2311,Soc Trang,VNM-STR,Soc Trang,VM,Vietnam,Provincial capital,0,0, ,0,1, 
11770179.7173446,1037967.90898639,1321,2312,Bac Lieu,VNM-MHA,Minh Hai,VM,Vietnam,Provincial capital,0,0, ,0,0, 
10144768.0894947,3458768.08441418,1322,2313,Lhasa,CHN-XZN,Xizang,CH,China,Provincial capital,0,0, ,0,0, 
10841182.715019,2922368.64187481,1323,2314,Myitkyina,MMR-KST,Kachin State,BM,Myanmar,Provincial capital,306949,4,"250,000 to 499,999",0,0,UN_Data_2010_2020
10457464.4345952,2849727.32952629,1324,2315,Imphal,IND-MNP,Manipur,IN,India,Provincial capital,277196,4,"250,000 to 499,999",0,0,UN_Data_2010_2020
10421363.8573803,2589746.9423216,1325,2316,Haka,MMR-CST,Chin State,BM,Myanmar,Provincial capital,0,0, ,0,0, 
10323023.7851368,2712845.97265372,1326,2317,Aizawl,IND-MZR,Mizoram,IN,India,Provincial capital,293416,4,"250,000 to 499,999",0,0,UN_Data_2010_2020
10413937.9620965,3142225.17204084,1327,2318,Itanagar,IND-APD,Arunachal Pradesh,IN,India,Provincial capital,0,0, ,0,0, 
10217269.8100429,3015600.10956907,1328,2319,Dispur,IND-ASS,Assam,IN,India,Provincial capital,0,0, ,0,0, 
10476944.8991755,2958019.08995265,1329,2320,Kohima,IND-NGL,Nagaland,IN,India,Provincial capital,0,0, ,0,0, 
